,is_pcba,revenue,is_bare_pcb,Days_since_order,Days_since_order,Date of registeration,date_active,Total_Purchase,last_order,Average
,sum,sum,sum,min,max,max,max,sum,max,
user_id,,,,,,,,,,
585237d5-0e09-4d15-8bee-60e02d375baf,22,3541.43,0,200 days 13:02:05.000000000,329 days 12:07:04.000000000,5/29/2016 15:07,9/8/2016,22,12/10/2016 3:44,5 days 20:41:08.136363636
51ae0760-e86c-44f7-a11c-0da407b83a42,0,30.77,1,201 days 19:06:05.000000000,201 days 19:06:05.000000000,12/8/2016 16:11,12/8/2016,1,12/8/2016 21:40,0 days 00:00:00.000000000
b8b43a9f-1023-48bb-b788-8bc439d3290e,0,48.28,1,204 days 21:53:06.000000000,204 days 21:53:06.000000000,5/23/2016 21:14,5/23/2016,1,12/5/2016 18:53,0 days 00:00:00.000000000
d154e281-a94b-4102-8dc1-b5cd58d856a3,1,289.13,6,208 days 23:15:55.000000000,414 days 23:49:57.000000000,3/30/2016 16:44,9/1/2016,7,12/1/2016 17:31,29 days 10:22:00.285714285
c84142a2-0b95-4b2d-ad52-6d02f4766a55,2,665.42,0,209 days 20:25:18.000000000,267 days 01:46:06.000000000,10/3/2016 17:16,5/22/2017,2,11/30/2016 20:21,28 days 14:40:24.000000000
5650234d-3ec7-4ab2-ab6b-60ea1f105b1b,1,141.92,0,215 days 18:33:39.000000000,215 days 18:33:39.000000000,5/22/2016 17:49,5/22/2016,1,11/24/2016 22:13,0 days 00:00:00.000000000
dcd3e882-324d-4a43-9149-6e802ccef0f3,1,1891.6,0,218 days 09:00:51.000000000,218 days 09:00:51.000000000,11/8/2016 6:14,12/7/2016,1,11/22/2016 7:46,0 days 00:00:00.000000000
abe11ab2-250f-4d6f-ab9f-909aef78c878,0,20.94,1,218 days 21:10:28.000000000,218 days 21:10:28.000000000,10/25/2016 17:43,11/21/2016,1,11/21/2016 19:36,0 days 00:00:00.000000000
acff2025-ba55-4c3a-a46a-6034eab91cb1,1,188.67,0,222 days 17:28:36.000000000,222 days 17:28:36.000000000,11/17/2016 0:32,11/17/2016,1,11/17/2016 23:18,0 days 00:00:00.000000000
cd2cdda4-70c4-48f7-97b3-1b3211356a98,2,258.08,0,223 days 19:09:41.000000000,261 days 02:27:11.000000000,10/10/2016 11:46,12/2/2016,2,11/16/2016 21:37,18 days 15:38:45.000000000
a7f76393-6308-4baa-bdf2-ea6592bbc35d,0,27.14,2,225 days 11:08:36.000000000,245 days 11:37:40.000000000,9/30/2016 19:48,9/30/2016,2,11/15/2016 5:38,10 days 00:14:32.000000000
68d667b1-02fc-4c8e-b292-3d544ba22e93,0,35.68,1,228 days 21:37:02.000000000,228 days 21:37:02.000000000,11/11/2016 18:31,11/15/2016,1,11/11/2016 19:10,0 days 00:00:00.000000000
dd9f5d3a-33de-4103-981e-57569cd7a0e6,0,107.25,3,232 days 23:03:51.000000000,323 days 20:29:18.000000000,5/27/2016 20:16,9/12/2016,3,11/7/2016 17:43,30 days 07:08:29.000000000
3edf887b-1157-47ab-b2dd-525da5d39617,1,126.27,0,234 days 22:52:59.000000000,234 days 22:52:59.000000000,10/4/2016 16:04,4/7/2017,1,11/5/2016 17:54,0 days 00:00:00.000000000
5676491e-e93c-4038-984e-fbf4f70d7563,0,28.94,2,236 days 16:41:42.000000000,347 days 00:57:28.000000000,7/15/2016 2:01,7/23/2016,2,11/4/2016 0:05,55 days 04:07:53.000000000
dde0b54a-0597-40ea-8fcf-231df9c1e7dd,0,34.86,1,237 days 11:09:11.000000000,237 days 11:09:11.000000000,10/4/2016 2:36,12/4/2016,1,11/3/2016 5:37,0 days 00:00:00.000000000
bfbfa39f-4419-4d2b-97ad-54d9e1dba384,3,2876.6,0,239 days 00:03:37.000000000,280 days 23:23:42.000000000,9/20/2016 11:31,9/23/2016,3,11/1/2016 16:43,13 days 23:46:41.666666666
8f9204da-7ee6-4652-bec6-8f07844df97d,0,20.93,2,244 days 11:14:25.000000000,245 days 12:38:17.000000000,10/3/2016 4:57,10/27/2016,2,10/27/2016 5:32,0 days 12:41:56.000000000
fbb53ee3-81ec-4033-bddf-8354e81b9530,1,180.22,0,247 days 23:17:14.000000000,247 days 23:17:14.000000000,10/16/2016 12:02,12/29/2016,1,10/23/2016 17:29,0 days 00:00:00.000000000
3d92e6ec-fbd4-46cc-8f13-106b0b6cfaa3,0,25.14,3,252 days 22:17:22.000000000,392 days 02:19:36.000000000,5/22/2016 2:36,9/12/2016,3,10/18/2016 18:29,46 days 09:20:44.666666666
235d8c7c-f8c0-4e72-91a5-fe19e286fed2,0,37.38,2,252 days 22:38:58.000000000,395 days 19:30:04.000000000,5/24/2016 20:39,6/3/2016,2,10/18/2016 18:08,71 days 10:25:33.000000000
c49062b1-5c17-4fc3-8011-dc0085086d39,0,48.72,1,257 days 03:02:25.000000000,257 days 03:02:25.000000000,10/14/2016 12:56,6/5/2017,1,10/14/2016 13:44,0 days 00:00:00.000000000
991174c0-c075-4d56-8c60-0572e6c69cc3,3,616.31,0,257 days 22:17:01.000000000,388 days 17:50:59.000000000,5/24/2016 19:51,6/4/2016,3,10/13/2016 18:30,43 days 14:31:19.333333333
03b63ddf-3ab1-4383-9603-eb9715866d73,0,46.05,1,259 days 22:20:46.000000000,259 days 22:20:46.000000000,10/11/2016 15:27,5/12/2017,1,10/11/2016 18:26,0 days 00:00:00.000000000
fdf2eed5-00f0-493f-a3d2-a39c796b75f9,1,205.29,0,263 days 21:21:54.000000000,263 days 21:21:54.000000000,10/5/2016 20:01,10/7/2016,1,10/7/2016 19:25,0 days 00:00:00.000000000
